#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
1,"Monthly Rewards
",1,"Suria Sabah Mall Adoption
*total updated not match with total stated in tnc due to stock issue",Suria Sabah Shopping Mall: Free Digi Umbrella,45,Suria Sabah ,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"1,800",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Free Digi umbrella when you spend minimum RM200 in accumulated receipt with maximum 2 combined receipt","Terms and Conditions:
Valid from now till 30 June 2018
Valid at Information Counter, Ground Floor, Suria Sabah Shopping Mall
Limited to first 2000 Digi Subscribers
First come first served, while stocks last
One redemption per customer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
2,"Monthly Rewards
",1,,Gallery Korea Décor: RM50 cash voucher,38,"Gallery Korea Décor
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Get RM50 cash voucher for purchase over RM500 and above in a single receipt (before 6% GST)","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 2-18 & 19, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
Not valid during promotions period
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
3,"Monthly Rewards
",1,*various promo (goods + details vs tnc),Seven Optical: Buy 2 free 1,27,Seven Optical,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Buy 2 free 1 for color contact lens and Free eye test","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 3-13, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
Enjoy various promotions including 40% discount on Sunglasses (selected items), Frame promotion as low as RM38, Buy 2 free 1 for color contact lens and Free eye test
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
4,"Monthly Rewards
",1,,Heatwave: 15% off,17,Heatwave,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
15% discount on original priced item","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 1-86, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
5,"Monthly Rewards
",1,,52nd Street Saloon: 30% off on Konxept Product,46,"52nd Street Saloon
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
30% off on Konxept Product","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 2-22, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
6,"Monthly Rewards
",1,,Makeover Hair Studio: 10% off,29,Makeover Hair Studio,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
10% discount on hair coloring service","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 2-37, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
7,"Monthly Rewards
",1,,Anakku: 30% discount on Disney New Range,40,Anakku,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
30% discount on Disney New Range including toiletries, bath and shampoo","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 3, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
8,"Monthly Rewards
",1,,Regus: Complimentary phone answering,36,Regus,offline,CAT=OTHERS,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Complimentary phone answering for the first six (6) months","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 8-1, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
Valid for office deals with minimum twelve (12) months term
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
9,"Monthly Rewards
",1,,Neubodi: 10% off,16,Neubodi,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Enjoy 10% off on normal priced items with every purchase of RM400 & above","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 1-78, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
Not inclusive of Neubodi Accessories and Neubodi Panties
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
10,"Monthly Rewards
",1,,Valentino Rudy: 20% off,23,Valentino Rudy,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Get 20% off on Normal Price Merchandise","Terms and Conditions:
Valid from now till 30 June 2018
Valid at shop lot no: 1-91 & 1-92, Suria Sabah Shopping Mall
Present this e-voucher at counter to enjoy the offer
Not applicable for Value Buy and others ongoing promotions
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
