UserID,frequency,recency,monetary_value,norm_frequency,norm_recency,norm_monetary_value,group
10,1.0,4596,30.0,1.95148605663e-05,0.000120937893892,2.81855970972e-05,0
80,7.0,1140,71.4285714286,0.000136604023964,2.9997649921e-05,6.71085645172e-05,2
90,10.0,1791,115.8,0.000195148605663,4.71278868495e-05,0.000108796404795,2
120,1.0,2256,20.0,1.95148605663e-05,5.93637703699e-05,1.87903980648e-05,0
130,2.0,3767,50.0,3.90297211326e-05,9.91238133791e-05,4.6975995162e-05,0
160,2.0,3760,30.0,3.90297211326e-05,9.89396172831e-05,2.81855970972e-05,0
190,5.0,3008,68.0,9.75743028316e-05,7.91516938265e-05,6.38873534204e-05,4
220,2.0,2855,25.0,3.90297211326e-05,7.51256934424e-05,2.3487997581e-05,0
230,1.0,4782,50.0,1.95148605663e-05,0.0001258322473,4.6975995162e-05,0
240,4.0,1260,16.25,7.80594422653e-05,3.31552972811e-05,1.52671984277e-05,4
260,1.0,4714,15.0,1.95148605663e-05,0.000124042913796,1.40927985486e-05,0
280,2.0,2803,20.0,3.90297211326e-05,7.37573795863e-05,1.87903980648e-05,0
290,7.0,1762,77.8571428571,0.000136604023964,4.63647887375e-05,7.31483353238e-05,2
320,1.0,4654,15.0,1.95148605663e-05,0.000122464090116,1.40927985486e-05,0
330,5.0,1964,34.0,9.75743028316e-05,5.16801617936e-05,3.19436767102e-05,4
400,2.0,2803,27.5,3.90297211326e-05,7.37573795863e-05,2.58367973391e-05,0
410,9.0,1901,29.4444444444,0.000175633745097,5.00223969296e-05,2.76636415954e-05,2
480,12.0,847,60.8333333333,0.000234178326796,2.22877276167e-05,5.71541274472e-05,2
490,2.0,4303,31.0,3.90297211326e-05,0.000113227971588,2.91251170005e-05,0
500,2.0,3753,75.0,3.90297211326e-05,9.87554211871e-05,7.04639927431e-05,0
510,1.0,4495,30.0,1.95148605663e-05,0.000118280207364,2.81855970972e-05,0
520,3.0,2788,183.333333333,5.8544581699e-05,7.33626736663e-05,0.000172245315594,7
690,4.0,2629,20.0,7.80594422653e-05,6.91787909142e-05,1.87903980648e-05,4
710,6.0,2855,27.5,0.000117089163398,7.51256934424e-05,2.58367973391e-05,2
760,5.0,2070,38.0,9.75743028316e-05,5.44694169617e-05,3.57017563232e-05,4
770,2.0,3145,30.0,3.90297211326e-05,8.27566745626e-05,2.81855970972e-05,0
780,1.0,4466,25.0,1.95148605663e-05,0.000117517109252,2.3487997581e-05,0
800,3.0,2262,101.666666667,5.8544581699e-05,5.95216527379e-05,9.55178568295e-05,7
820,1.0,4517,30.0,1.95148605663e-05,0.00011885910938,2.81855970972e-05,0
830,7.0,1118,48.5714285714,0.000136604023964,2.94187479049e-05,4.56338238717e-05,2
850,10.0,939,28.5,0.000195148605663,2.47085905928e-05,2.67763172424e-05,2
860,10.0,915,54.0,0.000195148605663,2.40770611208e-05,5.0734074775e-05,2
870,1.0,4450,450.0,1.95148605663e-05,0.000117096089604,0.000422783956458,3
890,1.0,4528,30.0,1.95148605663e-05,0.000119148560388,2.81855970972e-05,0
910,1.0,4454,25.0,1.95148605663e-05,0.000117201344516,2.3487997581e-05,0
940,8.0,1528,36.25,0.000156118884531,4.02073763853e-05,3.40575964925e-05,2
960,1.0,4576,50.0,1.95148605663e-05,0.000120411619332,4.6975995162e-05,0
1000,2.0,2065,22.5,3.90297211326e-05,5.43378483217e-05,2.11391978229e-05,4
1020,5.0,798,68.0,9.75743028316e-05,2.09983549447e-05,6.38873534204e-05,4
1030,7.0,1793,20.0,0.000136604023964,4.71805143055e-05,1.87903980648e-05,2
1040,4.0,1001,42.5,7.80594422653e-05,2.63400417288e-05,3.99295958877e-05,4
1050,9.0,2245,155.555555556,0.000175633745097,5.90743193619e-05,0.000146147540504,2
1150,11.0,807,64.0909090909,0.00021466346623,2.12351784967e-05,6.02146847077e-05,2
1200,9.0,1989,102.777777778,0.000175633745097,5.23380049937e-05,9.65617678331e-05,2
1290,5.0,1164,53.0,9.75743028316e-05,3.0629179393e-05,4.97945548718e-05,4
1310,11.0,800,29.0909090909,0.00021466346623,2.10509824007e-05,2.73314880943e-05,2
1350,4.0,4085,31.25,7.80594422653e-05,0.000107491578883,2.93599969763e-05,0
1380,4.0,1413,62.5,7.80594422653e-05,3.71812976652e-05,5.87199939526e-05,4
1410,5.0,1165,270.0,9.75743028316e-05,3.0655493121e-05,0.000253670373875,7
1420,34.0,939,51.0294117647,0.000663505259255,2.47085905928e-05,4.79431480036e-05,2
1430,3.0,4090,46.6666666667,5.8544581699e-05,0.000107623147523,4.38442621512e-05,0
1470,9.0,812,56.1111111111,0.000175633745097,2.13667471367e-05,5.27175056819e-05,2
1530,1.0,798,50.0,1.95148605663e-05,2.09983549447e-05,4.6975995162e-05,4
1550,4.0,2542,52.5,7.80594422653e-05,6.68894965781e-05,4.93247949202e-05,4
1590,1.0,4528,75.0,1.95148605663e-05,0.000119148560388,7.04639927431e-05,0
1620,2.0,1385,25.0,3.90297211326e-05,3.64445132812e-05,2.3487997581e-05,4
1650,3.0,2170,26.6666666667,5.8544581699e-05,5.71007897618e-05,2.50538640864e-05,4
1660,4.0,3151,57.5,7.80594422653e-05,8.29145569306e-05,5.40223944364e-05,0
1710,11.0,1140,92.3636363636,0.00021466346623,2.9997649921e-05,8.67774746993e-05,2
1800,4.0,989,30.0,7.80594422653e-05,2.60242769928e-05,2.81855970972e-05,4
1860,1.0,1079,50.0,1.95148605663e-05,2.83925125129e-05,4.6975995162e-05,4
1880,4.0,798,20.0,7.80594422653e-05,2.09983549447e-05,1.87903980648e-05,4
1910,5.0,1372,33.0,9.75743028316e-05,3.61024348171e-05,3.1004156807e-05,4
1920,8.0,831,34.375,0.000156118884531,2.18667079687e-05,3.22959966739e-05,2
1940,10.0,1483,47.5,0.000195148605663,3.90232586252e-05,4.46271954039e-05,2
1950,2.0,4088,300.0,3.90297211326e-05,0.000107570520067,0.000281855970972,3
1960,12.0,1083,41.25,0.000234178326796,2.84977674249e-05,3.87551960087e-05,2
2070,2.0,4085,30.0,3.90297211326e-05,0.000107491578883,2.81855970972e-05,0
2120,12.0,996,381.25,0.000234178326796,2.62084730888e-05,0.000358191963111,3
2140,1.0,4123,30.0,1.95148605663e-05,0.000108491500547,2.81855970972e-05,0
2160,2.0,3977,200.0,3.90297211326e-05,0.000104649696259,0.000187903980648,7
2170,7.0,1594,28.5714285714,0.000136604023964,4.19440824333e-05,2.68434258069e-05,2
2180,1.0,931,30.0,1.95148605663e-05,2.44980807688e-05,2.81855970972e-05,4
2190,9.0,1805,677.777777778,0.000175633745097,4.74962790415e-05,0.000636785712197,3
2200,3.0,2184,66.6666666667,5.8544581699e-05,5.74691819538e-05,6.26346602161e-05,4
2230,1.0,4159,8.0,1.95148605663e-05,0.000109438794755,7.51615922593e-06,0
2270,10.0,951,18.0,0.000195148605663,2.50243553288e-05,1.69113582583e-05,2
2280,1.0,4527,15.0,1.95148605663e-05,0.00011912224666,1.40927985486e-05,0
2320,3.0,2876,13.3333333333,5.8544581699e-05,7.56782817304e-05,1.25269320432e-05,0
2370,2.0,4121,62.5,3.90297211326e-05,0.000108438873091,5.87199939526e-05,0
2380,6.0,1415,46.6666666667,0.000117089163398,3.72339251212e-05,4.38442621512e-05,2
2440,1.0,4464,55.0,1.95148605663e-05,0.000117464481796,5.16735946783e-05,0
2480,3.0,1163,43.3333333333,5.8544581699e-05,3.0602865665e-05,4.07125291404e-05,4
2540,4.0,2431,118.75,7.80594422653e-05,6.396867277e-05,0.00011156798851,7
2570,9.0,803,124.0,0.000175633745097,2.11299235847e-05,0.000116500468002,2
2600,7.0,1898,478.571428571,0.000136604023964,4.99434557456e-05,0.000449627382265,3
2620,2.0,2184,30.0,3.90297211326e-05,5.74691819538e-05,2.81855970972e-05,4
2640,20.0,870,30.5,0.000390297211326,2.28929433607e-05,2.86553570488e-05,2
2660,1.0,4524,20.0,1.95148605663e-05,0.000119043305476,1.87903980648e-05,0
2690,6.0,1904,108.333333333,0.000117089163398,5.01013381136e-05,0.000101781322851,7
2700,4.0,2267,67.5,7.80594422653e-05,5.96532213779e-05,6.34175934688e-05,4
2720,21.0,897,59.0476190476,0.000409812071893,2.36034140167e-05,5.54764133342e-05,2
2740,4.0,4016,47.5,7.80594422653e-05,0.000105675931651,4.46271954039e-05,0
2800,3.0,3969,75.0,5.8544581699e-05,0.000104439186435,7.04639927431e-05,0
2810,1.0,4528,30.0,1.95148605663e-05,0.000119148560388,2.81855970972e-05,0
2850,5.0,3732,30.0,9.75743028316e-05,9.82028328991e-05,2.81855970972e-05,0
2930,2.0,3760,175.0,3.90297211326e-05,9.89396172831e-05,0.000164415983067,7
2940,3.0,3900,36.6666666667,5.8544581699e-05,0.000102623539203,3.44490631188e-05,0
2960,6.0,2610,55.8333333333,0.000117089163398,6.86788300822e-05,5.2456527931e-05,2
2980,3.0,2259,48.3333333333,5.8544581699e-05,5.94427115539e-05,4.54101286566e-05,4
3000,6.0,1989,35.125,0.000117089163398,5.23380049937e-05,3.30006366013e-05,2
3010,12.0,800,42.9166666667,0.000234178326796,2.10509824007e-05,4.03210625141e-05,2
3020,5.0,3053,34.0,9.75743028316e-05,8.03358115866e-05,3.19436767102e-05,0
3040,2.0,4374,35.0,3.90297211326e-05,0.000115096246276,3.28831966134e-05,0
3050,9.0,1323,43.3333333333,0.000175633745097,3.48130621451e-05,4.07125291404e-05,2
3060,8.0,1222,67.5,0.000156118884531,3.2155375617e-05,6.34175934688e-05,2
3090,1.0,4488,100.0,1.95148605663e-05,0.000118096011268,9.39519903241e-05,0
3100,4.0,1471,38.75,7.80594422653e-05,3.87074938892e-05,3.64063962506e-05,4
