1,free,598
10%,off,114
for,1,105
next,visit,100
off,your,100
off,next,96
next,purchase,87
up,to,80
1,for,77
get,1,73
your,next,72
off,with,70
ice,cream,67
spend,of,64
15%,off,63
$1,off,63
-,free,61
$10,off,60
20%,off,57
with,any,55
$5,off,54
off,any,54
free,coffee,54
50%,off,54
purchase,of,52
-,1,50
$2,off,49
with,a,48
free,drink,48
-,$1,48
-,$10,41
with,purchase,40
$3,off,39
$10,voucher,39
get,free,39
off,voucher,38
get,a,38
$5,voucher,36
-,$5,36
a,free,35
buy,1,34
minimum,spend,34
-,$2,33
on,next,32
total,bill,32
$20,off,32
off,on,31
bottle,of,30
off,total,30
and,get,29
bonus,chop,27
off,for,27
for,a,27
sasa,-,27
-,$3,26
$15,off,25
$20,voucher,25
-,$20,25
of,your,25
of,the,25
free,topping,24
a,minimum,24
main,course,24
free,dessert,23
your,choice,22
with,min,22
any,purchase,22
+,1,21
grand,prize:,21
free,upsize,20
set,meal,19
or,tea,19
try,again,19
coffee,or,19
6-inch,sub,19
1,get,18
with,every,18
movie,ticket@golden,18
2,free,18
please,try,18
1,movie,18
ticket@golden,village,18
free,salad,17
sandwich,platter,17
coming,soon!,16
one,sandwich,16
free,one,16
no,reward,15
free,side,15
single,scoop,15
free,regular,15
spend,p300,15
free,small,15
box,of,15
-,$15,15
worth,up,15
free,1,15
$50,voucher,14
choice,of,14
off,a,14
30%,off,14
$30,off,14
your,bill!,14
min,spend,14
drink,up,14
free,classic,14
the,day,14
min.,spend,14
free,set,13
body,massage,13
$15,voucher,13
cash,voucher,13
at,50%,13
glass,of,13
salad,or,13
buy,any,13
p300,get,13
free,ice,13
free,main,13
lazada,-,13
free,bottle,13
of,ice,13
or,wrap,12
one,free,12
1,week!,12
drink,with,12
breakfast,flatbread,12
slice,of,12
chop,with,12
off,min.,12
get,2nd,12
bill,on,12
-,10%,12
in,store,11
cup,of,11
side,dish,11
salon,-,11
for,2,11
p100,off,11
scoop,of,11
1,scoop,11
prize:,free,11
yves,rocher,11
on,your,11
$100,voucher,11
free,6-inch,11
get,p100,11
win,a,11
eye,treatment,11
off,minimum,11
on,any,11
bring,a,11
of,wine,11
additional,chop,11
free,sandwich,11
1,on,10
includes,valet,10
world,sentosa,10
25%,off,10
set,lunch,10
reg,6-inch,10
sorry,please,10
5%,off,10
resorts,world,10
of,$20,10
of,coffee,10
iced,tea,10
2nd,sub,10
1,reg,10
of,any,10
any,main,10
any,2,10
free,meal,10
gift,card,10
free,signature,10
valet,service,10
with,min.,10
meal,at,10
sentosa,-,10
free,upgrade,10
for,any,10
item,reward!,10
dessert,with,10
free,cookie,10
sub,at,10
off,bill,10
grand,prize,10
sub,get,10
sorry,no,10
free,pizza,9
p30,off,9
roast,beef,9
a,friend,9
min,$50,9
free,scoop,9
coffee,with,9
free,medium,9
beef,at,9
free,session,9
pair,of,9
off,storewide,9
get,10%,9
thank,you!,9
or,12-inch,9
at,p30,9
12-inch,subway,9
steak,and,9
spend,"p500,",9
of,choice,9
get,6,9
free,chop,9
free,chicken,9
6,or,9
lunch,set,9
tea,with,9
to,large,9
spend,p250,9
test,reward,9
get,50%,9
of,house,9
of,beer,9
$30,voucher,9
free,cup,9
free,hot,9
no,minimum,9
free,express,9
prize,-,9
free,waffle,9
hair,care,9
"p500,",get,9
-,get,9
house,wine,9
p250,get,9
free,soup,8
"cheese,",roast,8
1,additional,8
buy,a,8
$25,voucher,8
$100,spent,8
gogovan,-,8
-,$30,8
free,slice,8
a,min,8
-,15%,8
coffee,-,8
-,$25,8
spend,p800,8
see,details,8
of,$10,8
1,coffee,8
you,win,8
-,additional,8
any,free,8
"club,",subway,8
and,"cheese,",8
out,store,8
free,original,8
a,spend,8
-,1-for-1,8
with,minimum,8
email,blast,8
when,you,8
chicken,wings,8
free,soft,8
"melt,",steak,8
wafuken,-,8
sorry,try,8
scoop,ice,8
subway,"melt,",8
spend,p500,8
facial,treatment,8
subway,"club,",8
1,bottle,8
p500,get,8
get,ucc,8
of,3,8
try,again!,7
house,-,7
of,6,7
2,for,7
medium,to,7
express,manicure,7
limited,edition,7
-,buy,7
for,the,7
voucher,no,7
your,purchase,7
on,us!,7
session,of,7
icon,by,7
voucher,on,7
rocher,-,7
any,breakfast,7
1,bonus,7
milk,tea,7
of,a,7
for,new,7
$8,voucher,7
sub,a,7
make,any,7
+,2,7
a,la,7
set,worth,7
the,hangar,7
meal,for,7
with,your,7
drink,for,7
p45,off,7
la,carte,7
nida,rooms,7
a,meal,7
additional,chops,7
at,p45,7
by,shunji,7
with,spend,7
soft,drink,7
tea,for,7
shopback,-,7
to,win,7
hangar,-,7
any,sub,7
shunji,matsuo,7
free,pasta,7
$50,off,7
voucher,with,7
ala,carte,7
details,for,7
dr.,wu,7
mega,san,6
of,$30,6
every,purchase,6
waffle,+,6
hair,salon,6
minimum,spending,6
free,pastry,6
baja,fresh,6
free,lunch,6
a,month!,6
of,gelato,6
free,melona,6
buy,2,6
via,shopback,6
meal,purchase,6
of,cake,6
watsons,-,6
redeem,a,6
rooms,-,6
facial,+,6
6-inch,breakfast,6
free,bonus,6
6-inch,meatball,6
p10,off,6
off,all,6
new,york,6
classic,manicure,6
your,first,6
a,single,6
top,up,6
p800,and,6
free,lesson,6
nam,hair,6
shopee,-,6
tea,or,6
of,6-inch,6
$1.50,off,6
rs,4000,6
free,snack,6
3,subs,6
hot,coffee,6
scoops,of,6
free,piccolo,6
-,20%,6
park,-,6
1,topping,6
$12,off,6
care,-,6
$50,spent,6
min.,$10,6
free,eyebrow,6
subs,or,6
meatball,marinara,6
cashback,via,6
chops,with,6
hashbrown,with,6
to,$12.90,6
marinara,at,6
of,$100,6
pint,of,6
with,$20,6
you!,please,6
dessert,up,6
yolé,evoucher,6
signature,flavors,6
any,drink,6
or,more,6
free,delivery,6
for,your,6
off,2nd,6
at,p10,6
gym,entry,6
flatbread,get,6
chop,on,6
free,hashbrown,6
of,pizza,6
*see,terms,6
bar,-,6
off,coffee,6
additional,5%,6
p50,off,6
$4,off,6
any,1,6
min.,purchase,6
$10,purchase,6
yun,nam,6
any,coffee,5
$30,spent,5
joe,&,5
bienen,baron,5
1,main,5
bag,of,5
week!,@,5
of,$40,5
discount,on,5
free,any,5
small,yogurt,5
fresh,-,5
for,locations,5
the,chicago,5
movie,tickets,5
creme,-,5
off,1,5
free,16,5
set,for,5
bodyperfect,-,5
$20,spent,5
18%,off,5
tonkotsu,ramen,5
1,dessert,5
honey,creme,5
buy,one,5
10%,discount,5
travel,insurance,5
gemmills,-,5
stenders,-,5
upgrade,to,5
20%,discount,5
a,chance,5
chance,to,5
&,dough,5
a,box,5
purchase,over,5
get,$10,5
free,combo,5
cream,with,5
cake,or,5
of,$25,5
off,purchase,5
price,of,5
package,for,5
free,hair,5
pineapple,juice,5
treatment,u.p.,5
+,eye,5
free,single,5
capped,at,5
-,25%,5
$2,voucher,5
with,next,5
wu,product,5
lifespa,-,5
off,capped,5
premium,topping,5
free,appetizer,5
$3,voucher,5
pizza,of,5
free,premium,5
price,for,5
free,vdl,5
any,dessert,5
"slices,",get,5
matsuo,hair,5
on,all,5
lava,cake,5
treatment,worth,5
free,cupcake,5
for,next,5
store,buy,5
2nd,item,5
online,-,5
to,$5,5
wine,includes,5
valid,for,5
with,$100,5
free,juice,5
buy,3,5
trial,class,5
with,$10,5
u.p,$68,5
topping,with,5
tea,-,5
san,sushi,5
chicago,mix®,5
+,free,5
get,one,5
for,one,5
marina,bay,5
long,black,5
free,4,5
1,hour,5
half,price,5
hot,chocolate,5
the,price,5
$300,voucher,5
no,min.,5
1,box,5
with,meal,5
1,small,5
of,signature,5
free,fries,5
next,bill,5
to,$3,5
a,week!,5
of,$50,5
to,delete,5
free,gelato,5
free,glass,5
-,2,5
product,worth,4
coffee,/,4
marco,-,4
pastry,with,4
free,tiramisu,4
spend,"p450,",4
herbal,hairgro,4
heavy,item,4
$1.00,off,4
free,braised,4
small,bag,4
ifoods,gcs!,4
spa,infinity,4
2,x,4
fairprice,online,4
-,$1.50,4
facial,or,4
of,2,4
thank,you,4
beauty,house,4
to,$2.50,4
or,tonkotsu,4
complimentary,small,4
möller's,or,4
waffle,with,4
florist,-,4
new,lazada,4
fish,and,4
spend,"p300,",4
katsu,don,4
museum,of,4
u.p,$180,4
medium,item,4
get,iced,4
1,pint,4
1,drink,4
season,pass,4
1,set,4
pain,relief,4
up,rs,4
course,purchased,4
of,$15,4
for,every,4
tier,2,4
-,complimentary,4
15%,discount,4
with,no,4
an,if,4
any,food,4
london,weight,4
off,regular,4
chop,mob,4
and,body,4
chocolate,origin,4
bonus,chop!,4
massage,u.p.,4
thailand,properties,4
lunch,and,4
popcorn,shops®,4
sunnyhills,voucher,4
and,ice,4
+,"p5,000",4
house,banner,4
$20,purchase,4
free,black,4
coffee,of,4
coffee,company,4
course,up,4
consolation,prize:,4
salad/,wrap,4
gift,set,4
2,drinks,4
or,litozin's,4
-,choice,4
free,whole,4
ramen,and,4
$5,with,4
your,participation,4
dessert,of,4
any,cakes,4
free,sub,4
cookie,@,4
of,drink,4
klook,-,4
off,ala,4
for,dinner,4
free,breakfast,4
fried,chicken,4
smith,-,4
-,half,4
3,additional,4
raffles,hotel,4
buffalo,wings,4
without,ice,4
your,pizza,4
a,purchase,4
spinelli,coffee,4
waffle,without,4
cafe,-,4
lazada,voucher,4
item,off,4
soup,of,4
coco,shake,4
angry,birds,4
any,pizza,4
a,drink,4
the,laneway,4
laneway,market,4
10%,savings,4
gel,manicure,4
for,2!,4
drink,worth,4
1,free!,4
-,$50,4
side,with,4
whole,cakes,4
-,3,4
at,spinelli,4
off,at,4
1,item,4
kit,worth,4
garrett,popcorn,4
eyebrow,shaping,4
enjoy,1,4
at,garrett,4
amazon,gift,4
bag,at,4
chicken,in,4
york,skin,4
free,wifi,4
one,complimentary,4
market,-,4
1,medium,4
"p300,",get,4
kkk,bbq,4
marco,marco,4
with,$150,4
1,any,4
spend,p600,4
or,smoothie,4
shake,shack,4
min,$100,4
with,ice,4
class,+,4
mob,-,4
classic,pedicure,4
blossom,beauty,4
$300,+,4
mint,museum,4
of,$70,4
vaniday,-,4
1,regular,4
iced,milk,4
for,lunch,4
1,waffle,4
free,standard,4
storewide,with,4
of,möller's,4
grilled,chicken,4
happy,hour,4
juice,for,4
and,15%,4
therapeutics,-,4
free,5,4
-,18%,4
off,ice,4
1,month,4
sg,-,4
of,classic,4
burger,get,4
sized,pita,4
treatment,u.p,4
scenic,travel,4
free,$10,4
+,$300,4
off,the,4
free,beer,4
"p450,",get,4
-,$28,4
$6,off,4
card,+,4
or,large,4
dough,-,4
the,cocoa,4
you,for,4
drink,purchase,4
shack,-,4
treatment,+,4
cocoa,trees,4
"p5,000",ifoods,4
you,buy,4
$8,off,4
drink,of,4
for,all,4
please,-,4
blissfulthots,florist,4
any,size,4
off,thailand,4
–,free,4
5%,off*,4
free,add-on,4
voucher,for,4
face,and,4
good,coffee,4
or,1,4
any,icing,4
care,mask,4
body,therapeutics,4
any,ramen,4
of,tea,4
massage,+,4
$25,off,4
$25,for,4
at,$135,4
sandwich,or,4
litozin's,product,4
origin,-,4
coffee,please,4
if,card,4
medium,drinks,4
any,set,4
$50,purchase,4
juice,with,4
valued,at,4
set,of,4
on,medium,4
skinperfect,-,4
impression,face,4
1,signature,4
coconut,water,4
off,single,4
gym,-,4
win,an,4
complimentary,bottle,4
spend,p700,4
bakery,-,3
at,raffles,3
any,sandwich,3
set,dinner,3
rinsing,vinegar,3
get,any,3
dessert,on,3
belif,-,3
do,not,3
water,with,3
spend,200,3
free,manicure,3
coffee,and,3
meal,is,3
popbar,-,3
free,"""",3
or,iced,3
of,5,3
1-for-1,coffee,3
chalk,ball,3
original,series,3
tea,free,3
min,purchase,3
worth,$28,3
funnel,cake,3
or,a,3
luck,next,3
300,get,3
body,treatment,3
ramen,worth,3
redeem,for,3
of,4,3
free,daily,3
at,$30,3
p1200,and,3
flight,discount,3
spend,"p900,",3
rws,invites,3
drink,on,3
to,$9,3
storewide,purchase,3
choice,for,3
free,customised,3
$50,spend,3
tandc,apply,3
lower,priced,3
a,pair,3
priced,item,3
monster,curry,3
free,burger,3
an,exclusive,3
tickets,at,3
of,spa,3
milk,&,3
of,$300,3
size,drink,3
&,1,3
free,cute,3
solutions,-,3
$150,spent,3
1,chicken,3
small,juice,3
regular,drink,3
red,mango,3
gelish,manicure,3
and,tea,3
for,only,3
p200,off,3
free,drinks,3
small,drink,3
leong,assurance,3
rocher,voucher,3
-,redeem,3
p200,spend,3
massage,at,3
upsize,on,3
therapy,u.p.,3
off,burgers,3
ntuc,fairprice,3
sandwich,/,3
for,$1,3
p600,get,3
6-inch,classic,3
with,drink,3
minimum,purchase,3
pcs,chicken,3
or,any,3
1,single,3
a,$50,3
from,the,3
of,contact,3
spending,of,3
the,pain,3
onion,rings,3
free,smoothie,3
to,enjoy,3
trees,-,3
to,$7.90,3
2nd,main,3
dinner,for,3
60,min,3
ramen,up,3
theme,park,3
this,time!,3
get,choice,3
-,$18,3
$1.50,premium,3
1,complimentary,3
spend,p1200,3
tier,2/2,3
icing,artistry's,3
hair,treatment,3
coffee,grande),3
contactlens,sg,3
"p900,",get,3
better,luck,3
-,30%,3
30,days,3
stay,at,3
lucky,draw,3
essence,at,3
2,"slices,",3
gift,worth,3
free,$5,3
potato,fries,3
with,free,3
spayuri,voucher,3
in,a,3
set,menu,3
assurance,-,3
1,classic,3
6,inch,3
12.12,online,3
worth,$3,3
a,nomama,3
1,starter,3
free,large,3
$30,for,3
kkday,-,3
rebel,-,3
min.,$20,3
the,belgian,3
free,cappuccino,3
hair,cut,3
free,gift,3
/,tea,3
take,away,3
nail,salon,3
is,on,3
one,for,3
get,onion,3
$10,gift,3
single,trip,3
​bejeweled,-,3
with,1,3
large,upgrade,3
$25,amazon,3
frozen,yogurt,3
brazilian,wax,3
1,week,3
customised,facial,3
ez-link,card,3
lip,balm,3
3pcs,chicken,3
1,sandwich,3
free,iced,3
milk,coffee,3
skin,solutions,3
test,for,3
jug,of,3
+,$10,3
japan,ipl,3
&,honey,3
oz.,drink,3
balm,with,3
free,ramen,3
you,a,3
zalora,12.12,3
worth,$7.95,3
$28,for,3
free,nachos,3
more,than,3
spend,$25,3
scoop,free,3
hot,beverage,3
minor,campaign,3
-,$100,3
on,a,3
rice,set,3
sub,with,3
toys,-,3
radiance,facial,3
tea,leaves,3
wifi,voucher,3
2,additional,3
"p150,",get,3
kpop,chicken,3
bejeweled,nail,3
bill,with,3
hong,leong,3
worth,$12,3
free,mini,3
pearl,milk,3
over,$50,3
sumiyaki,coffee,3
3,pcs,3
up,$4,3
dunkin,donuts,3
apple,ipod,3
night's,stay,3
baking,class,3
free,wrap,3
don,or,3
voucher,off,3
1,$50,3
free,limited,3
minimum,$30,3
off,every,3
of,p250!,3
online,fever,3
200,get,3
your,meal,3
$10,spent,3
or,lower,3
or,salad,3
black,coffee,3
salad,for,3
spend,p1500,3
to,redeem,3
pot,of,3
friend,and,3
director,haircut,3
or,dark,3
citycab,-,3
complimentary,set,3
$4,for,3
donuts,-,3
min.,spending,3
gelato,ice-cream,3
free,brownie,3
football,voucher,3
class,or,3
extra,topping,3
body,care,3
tier,1,3
classes,for,3
to,$15.90,3
in,the,3
every,p200,3
free,pork,3
you!,we,3
spend,300,3
signature,drink,3
upsize,when,3
reward,this,3
meal,upgrade,3
starter,of,3
free,3,3
birds,theme,3
30,min,3
costa,pacifica,3
of,$60,3
waffles,and,3
carte,item,3
at,costa,3
cooler,of,3
wax,voucher,3
eye,care,3
gift,certificates!,3
sessions,of,3
free,dr.,3
enjoy,a,3
cookie,with,3
75,mins,3
worth,$15,3
"""the","mat""",3
insurance,to,3
mellower,coffee,3
spa,-,3
bay,link,3
baron,honey,3
-,$6,3
tea/coffee,with,3
free,extra,3
any,single,3
scoop,with,3
spend,"p150,",3
a,samsung,3
16,oz.,3
to,$3.20,3
lazada,shoppers,3
a,week,3
kenko,fish,3
$20,spayuri,3
infinity,-,3
1,herbal,3
nomama,ramen,3
medium,cup,3
your,travel,3
massage,"60min,",3
any,hair,3
soup,and,3
get,p150,3
junior,scoop,3
of,$8,3
water,or,3
p150,off,3
coffee,purchased,3
of,p500,3
back,massage,3
-,$4,3
food,rebel,3
1,lunch,3
free,2,3
fish,spa,3
of,$120,3
"size""",cup,3
premier,football,3
1,glass,3
link,mall,3
iuiga,-,3
gf,coupon,3
voucher,at,3
1,more,3
free,chocolate,3
discount,off,3
llaollao,-,3
subway,-,3
-,,3
to,$12,3
classic,single,3
$6,voucher,3
sub,6,3
off,korean,3
big,dipper,3
$40,voucher,3
and,cheese,3
2,scoops,3
set,with,3
1,fish,3
waffle,set,3
for,purchase,3
mini,cupcakes,3
cup,u.p,3
for,up,3
tart,with,3
pasta,/,3
get,cooler,3
60,mins,3
artistry's,class,3
cream,for,3
bucket,of,3
$1,tier,3
fever,-,3
u.p.,at,3
salad,/,3
ice,tea,3
juice,and,3
factory,-,3
1,pot,3
any,$30,3
min,kenko,3
for,pineapple,3
1,hot,3
not,applicable,3
on,sundays,3
free,fragrance,3
-,the,3
detox,therapy,3
pacifica,for,3
any,gelato!,3
off,tickets,3
-,$300,3
price,at,3
discount,for,3
fries,with,3
free,detox,3
gift,hamper,3
active,red,3
have,a,3
resonance,detox,3
complimentary,medium,3
sushi,bar,3
any,burger,3
not,use,3
of,toys,3
regular,size,3
frappe,or,3
diamond,peel,3
free,"""the",3
$10,spend,3
juice,or,3
welcome,package,2
carte,items,2
u.p.,$150,2
original,and,2
two,days,2
dr.,keith,2
burger,purchased,2
reward,voucher,2
15%*,cashback,2
all,purchases,2
spend,"p600,",2
hot,arabica,2
ice,drink,2
yogurt,purchase.,2
french,toast,2
whole,cake,2
49%,extra,2
3,sessions,2
flavours,@,2
or,relaxing,2
drink,free,2
month,free,2
ice-cream,ball,2
pass,purchase,2
or,waffle,2
express,exclusive,2
chicken,karaage,2
herbal,hair,2
hummus,free,2
mooncake,special,2
chicken,-,2
adult,ticket,2
free,matcha,2
to,$6.90,2
off,small,2
campaign,-,2
beancurd,side,2
tempura,classic,2
wraps,-,2
1,foot,2
